Iteration,Death,Replace,Mutation,Migration,Time,Found,Score
37500,0.1,0.0,0.0,1.0,15177,13331,178.42474850469736
37500,0.1,0.0,0.1,0.9,16246,34111,15.880989455867452
37500,0.1,0.0,0.2,0.8,16449,34111,15.880989455867452
37500,0.1,0.0,0.30000000000000004,0.7,16692,34111,15.880989455867452
37500,0.1,0.0,0.4,0.6,16751,34111,15.880989455867452
37500,0.1,0.0,0.5,0.5,16202,34111,15.880989455867452
37500,0.1,0.0,0.6000000000000001,0.3999999999999999,16469,34111,15.880989455867452
37500,0.1,0.0,0.7000000000000001,0.29999999999999993,16571,34111,15.880989455867452
37500,0.1,0.0,0.8,0.19999999999999996,16813,34111,15.880989455867452
37500,0.1,0.0,0.9,0.09999999999999998,16780,34111,15.880989455867452
37500,0.1,0.0,1.0,0.0,17408,34111,15.880989455867452
37500,0.1,0.1,0.0,0.9,16749,13331,178.42474850469736
37500,0.1,0.1,0.1,0.8,17421,31095,13.64631336990404
37500,0.1,0.1,0.2,0.7,17213,32792,17.515593745796153
37500,0.1,0.1,0.30000000000000004,0.6,16919,36127,17.09172350302084
37500,0.1,0.1,0.4,0.5,17004,31312,13.646899587110807
37500,0.1,0.1,0.5,0.4,16959,32770,13.64502754479226
37500,0.1,0.1,0.6000000000000001,0.29999999999999993,16950,25678,13.645586934840262
37500,0.1,0.1,0.7000000000000001,0.19999999999999996,17224,34402,13.645112973136134
37500,0.1,0.1,0.8,0.09999999999999998,17247,35173,13.656863043056088
37500,0.1,0.1,0.9,0.0,17081,34959,13.66169887118537
37500,0.1,0.2,0.0,0.8,16816,13331,178.42474850469736
37500,0.1,0.2,0.1,0.7,17221,25418,13.650972825066635
37500,0.1,0.2,0.2,0.6,17116,34022,16.87763036855025
37500,0.1,0.2,0.30000000000000004,0.5,16984,37318,15.16153852163655
37500,0.1,0.2,0.4,0.3999999999999999,17371,37300,13.730082061890078
37500,0.1,0.2,0.5,0.30000000000000004,17327,36696,16.920414169857246
37500,0.1,0.2,0.6000000000000001,0.19999999999999996,16871,33199,14.745882226322834
37500,0.1,0.2,0.7000000000000001,0.09999999999999987,17175,35389,17.525884348856703
37500,0.1,0.2,0.8,0.0,17071,29725,17.41435849080429
37500,0.1,0.30000000000000004,0.0,0.7,16828,13331,178.42474850469736
37500,0.1,0.30000000000000004,0.1,0.6,17226,36931,13.680374776264188
37500,0.1,0.30000000000000004,0.2,0.5,17413,36695,18.214320380326406
37500,0.1,0.30000000000000004,0.30000000000000004,0.3999999999999999,17154,36985,14.817027778574118
37500,0.1,0.30000000000000004,0.4,0.29999999999999993,17180,37233,16.75244070500589
37500,0.1,0.30000000000000004,0.5,0.19999999999999996,17078,37264,16.36403351316409
37500,0.1,0.30000000000000004,0.6000000000000001,0.09999999999999987,17491,34833,15.33395986791743
37500,0.1,0.30000000000000004,0.7000000000000001,0.0,17524,36047,16.83809436717227
37500,0.1,0.4,0.0,0.6,17073,13331,178.42474850469736
37500,0.1,0.4,0.1,0.5,17243,35372,13.660777484582013
37500,0.1,0.4,0.2,0.3999999999999999,17336,33504,13.65804134370004
37500,0.1,0.4,0.30000000000000004,0.29999999999999993,17302,36044,16.730915234268856
37500,0.1,0.4,0.4,0.19999999999999996,17155,33738,13.652422746586659
37500,0.1,0.4,0.5,0.09999999999999998,17306,20504,14.73161608776929
37500,0.1,0.4,0.6000000000000001,0.0,17088,36677,17.38272317224149
37500,0.1,0.5,0.0,0.5,16804,13331,178.42474850469736
37500,0.1,0.5,0.1,0.4,17177,37430,17.204532632805854
37500,0.1,0.5,0.2,0.30000000000000004,16936,26298,13.648028563461004
37500,0.1,0.5,0.30000000000000004,0.19999999999999996,17121,36767,14.192900951975622
37500,0.1,0.5,0.4,0.09999999999999998,17004,35937,13.65148471673478
37500,0.1,0.5,0.5,0.0,17086,29515,17.521542750896312
37500,0.1,0.6000000000000001,0.0,0.3999999999999999,16926,13331,178.42474850469736
37500,0.1,0.6000000000000001,0.1,0.29999999999999993,17003,37424,14.682779343202686
37500,0.1,0.6000000000000001,0.2,0.19999999999999996,17154,37236,14.746951665174116
37500,0.1,0.6000000000000001,0.30000000000000004,0.09999999999999987,16964,21442,13.645688299056184
37500,0.1,0.6000000000000001,0.4,0.0,17238,33345,18.610726882574387
37500,0.1,0.7000000000000001,0.0,0.29999999999999993,16858,13331,178.42474850469736
37500,0.1,0.7000000000000001,0.1,0.19999999999999996,17069,37439,17.67585320770117
37500,0.1,0.7000000000000001,0.2,0.09999999999999987,17292,29595,15.877119847343444
37500,0.1,0.7000000000000001,0.30000000000000004,0.0,16943,33585,13.64624452509621
37500,0.1,0.8,0.0,0.19999999999999996,16890,13331,178.42474850469736
37500,0.1,0.8,0.1,0.09999999999999998,17095,37276,22.811959412707555
37500,0.1,0.8,0.2,0.0,17266,37327,17.036252544715154
37500,0.1,0.9,0.0,0.09999999999999998,16782,13331,178.42474850469736
37500,0.1,0.9,0.1,0.0,16916,37497,23.704664232308495
18750,0.2,0.0,0.0,1.0,15898,8896,176.953833145582
18750,0.2,0.0,0.1,0.9,15974,17582,15.468528682469172
18750,0.2,0.0,0.2,0.8,15986,17582,15.468528682469172
18750,0.2,0.0,0.30000000000000004,0.7,16305,17582,15.468528682469172
18750,0.2,0.0,0.4,0.6,16130,17582,15.468528682469172
18750,0.2,0.0,0.5,0.5,16178,17582,15.468528682469172
18750,0.2,0.0,0.6000000000000001,0.3999999999999999,16257,17582,15.468528682469172
18750,0.2,0.0,0.7000000000000001,0.29999999999999993,16175,17582,15.468528682469172
18750,0.2,0.0,0.8,0.19999999999999996,16199,17582,15.468528682469172
18750,0.2,0.0,0.9,0.09999999999999998,16212,17582,15.468528682469172
18750,0.2,0.0,1.0,0.0,16273,17582,15.468528682469172
18750,0.2,0.1,0.0,0.9,16011,8896,176.953833145582
18750,0.2,0.1,0.1,0.8,16217,18356,14.202649356878029
18750,0.2,0.1,0.2,0.7,16364,16740,13.64714672907255
18750,0.2,0.1,0.30000000000000004,0.6,16325,18470,13.651943779599904
18750,0.2,0.1,0.4,0.5,16159,18204,17.835473195432495
18750,0.2,0.1,0.5,0.4,16250,18573,16.90632681541412
18750,0.2,0.1,0.6000000000000001,0.29999999999999993,16267,14883,16.759530612750932
18750,0.2,0.1,0.7000000000000001,0.19999999999999996,16466,16000,16.43982783738203
18750,0.2,0.1,0.8,0.09999999999999998,16476,17163,13.645436936400696
18750,0.2,0.1,0.9,0.0,16447,16105,14.2541843412613
18750,0.2,0.2,0.0,0.8,16295,8896,176.953833145582
18750,0.2,0.2,0.1,0.7,16209,16173,17.004542096873433
18750,0.2,0.2,0.2,0.6,15973,17803,17.387651353329588
18750,0.2,0.2,0.30000000000000004,0.5,16162,14408,13.65313634901854
